Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Bitcoin,2/11/2025,2/12/2025,97467.69,98424.33,94926.49,95783.6,46753246914.40,1925449737443.75
Bitcoin,2/10/2025,2/11/2025,96782.88,98215.75,95499.98,97372.05,53325970816.78,1925993184810.26
Bitcoin,2/9/2025,2/10/2025,96442.54,97278.04,94807.91,96515.22,32116590763.28,1912714801489.05
Bitcoin,2/8/2025,2/9/2025,96447.9,96847.82,95717.84,96544.97,62373810394.24,1908201665424.37
Bitcoin,2/7/2025,2/8/2025,96755.94,100023,95661.12,96503.93,67990905956.73,1928083793909.21
Bitcoin,2/6/2025,2/7/2025,96806.37,99108.31,95885.57,96586.85,60696114350.75,1931608477135.97
Bitcoin,2/5/2025,2/6/2025,97979.89,98876.15,96296.48,96594.39,81517859048.12,1936883763799.70
Bitcoin,2/4/2025,2/5/2025,101443,101613,96332.98,98027.99,101079670880.78,1967339128697.91
Bitcoin,2/3/2025,2/4/2025,97418.2,102289,92692.13,101371,130618314576.78,1917963058416.88
Bitcoin,2/2/2025,2/3/2025,100604,101386,96763.02,97584.89,53761921059.80,1963730284765.22
Bitcoin,2/1/2025,2/2/2025,102318,102760,100288,100649,53430949036.51,2020755402343.06
Bitcoin,1/31/2025,2/1/2025,104840,105807,101632,102391,76033677211.55,2061170283945.47
Bitcoin,1/30/2025,1/31/2025,103543,106208,103396,104793,75054210025.52,2082326892923.20
Bitcoin,1/29/2025,1/30/2025,101389,104646,101376,103705,56703543830.99,2031386072112.64
Bitcoin,1/28/2025,1/29/2025,102543,103556,100333,101344,81875109431.45,2028605776021.77
Bitcoin,1/27/2025,1/28/2025,102875,103225,97785.26,101986,77302679559.20,1989535139826.06
Bitcoin,1/26/2025,1/27/2025,104772,105393,102623,102623,28989514906.49,2076926468772.12
Bitcoin,1/25/2025,1/26/2025,104775,105232,104145,104816,52193881184.10,2074620118168.53
Bitcoin,1/24/2025,1/25/2025,103849,106948,102800,104811,115078130761.19,2081402267735.85
Bitcoin,1/23/2025,1/24/2025,103723,106461,101276,104039,88297171088.61,2045675220954.87
Bitcoin,1/22/2025,1/23/2025,106011,106189,103417,103720,87286860083.74,2078211862894.28
Bitcoin,1/21/2025,1/22/2025,101743,107133,100480,106198,139085618268.77,2058710070902.29
Bitcoin,1/20/2025,1/21/2025,100825,109079,99832.98,101926,148057020106.47,2073876283580.32
Bitcoin,1/19/2025,1/20/2025,104401,106354,99673.27,101378,71704147685.81,2074454879075.43
Bitcoin,1/18/2025,1/19/2025,104227,104959,102360,104415,79851654021.58,2056406022697.46
Bitcoin,1/17/2025,1/18/2025,100045,105828,100044,104119,80029703797.13,2036603783703.03
Bitcoin,1/16/2025,1/17/2025,100491,100616,97514.91,100050,74992466216.37,1971703690414.03
Bitcoin,1/15/2025,1/16/2025,96506.98,100638,96506.98,100280,70069304045.51,1942834773949.34
Bitcoin,1/14/2025,1/15/2025,94523.94,97316.06,94354.8,96624.15,89162525730.67,1899683295814.72
Bitcoin,1/13/2025,1/14/2025,94583.86,95759.98,90000.02,94474.29,60704225079.42,1843035365618.57
Bitcoin,1/12/2025,1/13/2025,94635.04,95314.07,93804.15,94489.93,26704832659.02,1872700186059.39
Bitcoin,1/11/2025,1/12/2025,94705.81,95009.18,93900.15,94595.97,60600829825.09,1869739138503.33
Bitcoin,1/10/2025,1/11/2025,92592.4,95738.27,92418.35,94749.98,84405720218.45,1866359318259.17
Bitcoin,1/9/2025,1/10/2025,94962.47,95340.9,91245.71,92406.11,85716154823.76,1851270937380.64
Bitcoin,1/8/2025,1/9/2025,96712,97268.67,92991.31,95059.96,85737267513.49,1891194933246.04
Bitcoin,1/7/2025,1/8/2025,102109,102444,96206.19,96916.64,72033067738.87,1978855407463.71
Bitcoin,1/6/2025,1/7/2025,98457.51,102440,97983.22,102222,53401942771.39,1984108911405.20
Bitcoin,1/5/2025,1/6/2025,98216.11,98757.56,97339.16,98394.57,33142539323.97,1942558010009.63
Bitcoin,1/4/2025,1/5/2025,98209.88,98727.99,97560.78,98259.43,47085373030.80,1941545303077.21
Bitcoin,1/3/2025,1/4/2025,96981.54,98944.63,96123.56,98126.64,58117695882.72,1926076511509.89
Bitcoin,1/2/2025,1/3/2025,94474.31,97820.94,94459.99,96949.18,52199445640.07,1907089349114.52
Bitcoin,1/1/2025,1/2/2025,93650.83,95074.46,93070.57,94610.14,51859876687.92,1860687393383.27
Bitcoin,12/31/2024,1/1/2025,92728.07,96016.01,92161.96,93647.01,75351850923.66,1856486204953.78
Bitcoin,12/30/2024,12/31/2024,93610.59,94951.18,91603.06,92811.03,58331914971.83,1850687915427.86
Bitcoin,12/29/2024,12/30/2024,95233.87,95272.03,93069.72,93659.56,35660027972.34,1872836839162.93
Bitcoin,12/28/2024,12/29/2024,94394.88,95394.07,94098.12,95204.07,54047947732.66,1875425836828.81
Bitcoin,12/27/2024,12/28/2024,95848.07,97199.96,93527.75,94452.57,66231541525.76,1892533809243.13
Bitcoin,12/26/2024,12/27/2024,99792,99940.03,95249.51,95830.42,58620968526.59,1915420141811.58
Bitcoin,12/25/2024,12/26/2024,98612.37,99436,97676.75,99436,62036161613.88,1949704818370.47
Bitcoin,12/24/2024,12/25/2024,94736.64,99280.01,93712.18,98805.9,76323175683.21,1899057311855.58
Bitcoin,12/23/2024,12/24/2024,95181.3,96433.71,92587.99,94748.02,74389445085.74,1876386494838.16
Bitcoin,12/22/2024,12/23/2024,97178.72,97408.04,94288.04,95136.87,60172030056.14,1906302613170.83
Bitcoin,12/21/2024,12/22/2024,97696.08,99490.36,96639.15,97253.03,103445426511.10,1933881968477.84
Bitcoin,12/20/2024,12/21/2024,97611.97,98200.45,92450,97691.36,139703232932.28,1909058168447.59
Bitcoin,12/19/2024,12/20/2024,100573,102672,96026.57,97874.66,128536950315.76,1985173434398.69
Bitcoin,12/18/2024,12/19/2024,106053,106444,100172,100368,122105965620.29,2057582532859.90
Bitcoin,12/17/2024,12/18/2024,105999,108239,105549,106052,124224918390.47,2112523563111.80
Bitcoin,12/16/2024,12/17/2024,104608,107768,103425,106010,117242854002.95,2084952957360.58
Bitcoin,12/15/2024,12/16/2024,101478,104921,101316,104621,74032778621.99,2029652386963.90
Bitcoin,12/14/2024,12/15/2024,101401,102589,100706,101364,90624467771.47,2009150944519.60
Bitcoin,12/13/2024,12/14/2024,100068,101818,99295.32,101371,109866813029.55,1988906701538.26
Bitcoin,12/12/2024,12/13/2024,101062,102497,99422.23,100041,119055118107.00,1994228389410.86
Bitcoin,12/11/2024,12/12/2024,96716.03,101825,95777.21,101074,137792236580.90,1955907945691.69
Bitcoin,12/10/2024,12/11/2024,97052.54,98128.02,94371.1,96628.01,166373033665.12,1916908391045.04
Bitcoin,12/9/2024,12/10/2024,100968,100968,94947.98,97422.43,106531591106.01,1949270156774.83
Bitcoin,12/8/2024,12/9/2024,99907.98,101215,98843.96,101215,66927756250.63,1975119878167.82
Bitcoin,12/7/2024,12/8/2024,99820.38,100428,99055.93,99699.99,113320436919.22,1972842731971.00
Bitcoin,12/6/2024,12/7/2024,96580.04,101861,96520.48,99798.48,188013492242.12,1957049343779.03
Bitcoin,12/5/2024,12/6/2024,98519.93,103484,93912.02,97013.92,184824248794.09,2000657732351.08
Bitcoin,12/4/2024,12/5/2024,95903.26,98975.08,94814.65,98730.99,105283404459.63,1908424124261.82
Bitcoin,12/3/2024,12/4/2024,95836.05,96238.1,93618.44,95970.93,106465586145.65,1890160822157.02
Bitcoin,12/2/2024,12/3/2024,97183.98,98051.18,94625.38,95807.6,85292808199.57,1901101405235.67
Bitcoin,12/1/2024,12/2/2024,96505.88,97767.64,95776.26,97236.3,53606873251.68,1916922956139.90
Bitcoin,11/30/2024,12/1/2024,97317.53,97329.92,96137.48,96436.01,75686925475.53,1913487930004.88
Bitcoin,11/29/2024,11/30/2024,95627.24,98564.62,95432.02,97383.7,73540702253.37,1915376254328.59
Bitcoin,11/28/2024,11/29/2024,95850.02,96560.02,94688,95632.03,91367563526.65,1887668008967.44
Bitcoin,11/27/2024,11/28/2024,91826.51,97208.23,91808,95899.86,105995810362.99,1864500796914.04
Bitcoin,11/26/2024,11/27/2024,93064.01,94915.39,90860.03,91993.22,130295482809.85,1842938063042.61
Bitcoin,11/25/2024,11/26/2024,97736.05,98746.64,92896.18,93079.67,81967757600.00,1914571548707.99
Bitcoin,11/24/2024,11/25/2024,97693.54,98515.16,95759.99,97867.46,59912158588.00,1927720657888.89
Bitcoin,11/23/2024,11/24/2024,98788.34,98874.93,97191.99,97628.02,83162177003.70,1944474660716.57
Bitcoin,11/22/2024,11/23/2024,98311.38,99498.52,97252,98851.49,120715743965.82,1952242799854.79
Bitcoin,11/21/2024,11/22/2024,94267.41,98789.88,94111.91,98425.93,124061794774.17,1920870646501.51
Bitcoin,11/20/2024,11/21/2024,92212.04,94819.96,91505.99,94174.71,104283260657.97,1845779458933.16
Bitcoin,11/19/2024,11/20/2024,90406.06,93836.94,90406.06,92119.47,103897079169.33,1818536542335.74
Bitcoin,11/18/2024,11/19/2024,89782.53,92532,89453.11,90549.34,78257155574.17,1799245714803.56
Bitcoin,11/17/2024,11/18/2024,90642.34,91447.99,88768.66,89763.59,59020288900.41,1787375905097.35
Bitcoin,11/16/2024,11/17/2024,91135.39,91735.96,90131.55,90543.67,87437209941.79,1801356084789.41
Bitcoin,11/15/2024,11/16/2024,87681.91,91741.72,87140.65,90949.94,115603162996.74,1763628734293.21
Bitcoin,11/14/2024,11/15/2024,90224.2,91637.55,86938.85,87347.45,153146346263.79,1773909794872.78
Bitcoin,11/13/2024,11/14/2024,88144.01,93243.92,86204.37,90300.02,160918008013.69,1759012763467.85
Bitcoin,11/12/2024,11/13/2024,88213.99,89800.23,85175.97,88164.77,200970767179.90,1738592782126.83
Bitcoin,11/11/2024,11/12/2024,80486.91,89424.41,80381.97,88627.98,115609444240.78,1642993507212.53
Bitcoin,11/10/2024,11/11/2024,76539.97,81233.28,76539.97,80409.97,71609202780.15,1563829624114.96
Bitcoin,11/9/2024,11/10/2024,76424.82,76893.95,75838,76615.99,57291171255.59,1509901429967.55
Bitcoin,11/8/2024,11/9/2024,75927.95,77115.59,75638.04,76544.78,74504748582.49,1504924618188.08
Bitcoin,11/7/2024,11/8/2024,75597.01,76751.96,74433.97,75919.31,103484517640.69,1489649632652.09
Bitcoin,11/6/2024,11/7/2024,69521.94,76097.95,69439.38,75567.57,137250861477.05,1465110205211.29
Bitcoin,11/5/2024,11/6/2024,67853.77,70435.69,67481.95,69348.54,59336565216.84,1363731448501.40
Bitcoin,11/4/2024,11/5/2024,68670.68,69346.28,66948.02,67792.92,48962107476.50,1353435808921.16
Bitcoin,11/3/2024,11/4/2024,69316,69373.64,67593.72,68832.86,36194109863.88,1353973920610.34
Bitcoin,11/2/2024,11/3/2024,69608,69896.03,69086.03,69319.96,50326627050.19,1374269743730.83
Bitcoin,11/1/2024,11/2/2024,70346.9,71520.59,68866.03,69531.96,64764647003.57,1378466264018.62
Bitcoin,10/31/2024,11/1/2024,72368.05,72625.19,69788.84,70340.01,53854409839.37,1413995664371.27
Bitcoin,10/30/2024,10/31/2024,72679.98,72865.93,71511.03,72359.86,71130395353.43,1427716315596.77
Bitcoin,10/29/2024,10/30/2024,69868.02,73534.9,69787.87,72782.82,69264084198.32,1415305246139.29
Bitcoin,10/28/2024,10/29/2024,68033.02,70130.8,67651.1,69892.45,37114871114.24,1357158014032.24
Bitcoin,10/27/2024,10/28/2024,67082.64,68300.39,66857.06,68029.34,24371770053.99,1333083441990.88
Bitcoin,10/26/2024,10/27/2024,66651.97,67363.21,66542.03,67102.01,55642452451.09,1324427980567.78
Bitcoin,10/25/2024,10/26/2024,68233.69,68680.88,65750.97,66637.8,47280935128.60,1336900585749.36
Bitcoin,10/24/2024,10/25/2024,66649.97,68704.49,66550.03,68234.05,50123672098.26,1334846995284.08
Bitcoin,10/23/2024,10/24/2024,67405.32,67405.32,65269.97,66745.54,46287674514.19,1316702466145.36
Bitcoin,10/22/2024,10/23/2024,67386.24,67781.79,66698,67393.99,55116769379.07,1331080919999.49
Bitcoin,10/21/2024,10/22/2024,68997.53,69414.08,66865.98,67440.04,45600677049.55,1347458269493.77
Bitcoin,10/20/2024,10/21/2024,68393.94,69315.86,68114.03,68987.76,21401472337.93,1353184866928.47
